eid	title	author	firstpage	lastpage	pages
MO1-1	History of Proton Linear Accelerators	L. W. Alvarez	3	9	3-9
MO1-2	Linear Induction Accelerators	R. J. Briggs	10	16	10-16
MO2-1	The Control of Beam Dynamics in High Energy Induction Linacs	G. J. Caporaso	17	21	17-21
MO2-2	{RF} Linacs for Esoteric Applications	R. A. Jameson	22	28	22-28
MO2-3	{RF} Power Sources for 1990 and Beyond	D. W. Reid	29	32	29-32
MO2-4	Linacs for Medical and Industrial Applications	R. W. Hamm	33	38	33-38
MO3-1	Operational Experience with {SLAC} Energy Upgrade	M. A. Allen and R. L. Cassel and N. R. Dean and G. T. Konrad and R. F. Koontz and H. D. Schwarz and A. E. Vlieks	39	42	39-42
MO3-2	Focusing Mechanisms in the Pulselac {CU} Accelerator	D. J. Johnson and T. R. Lockner	43	45	43-45
MO3-4	Thermal Design of Drift Tubes for High-Gradient Linacs	D. J. Liska and N. Bultman and L. O. Carlisle	46	47	46-47
MO3-5	Precision Alignment of Permanent Magnet Drift Tubes	D. J. Liska and L. B. Dauelsberg and G. Spalek	48	49	48-49
MO3-7	Longitudinal Trapping and Particle Loss of High Intensity Bunched Beams	M. Pabst and K. Bongardt	50	52	50-52
MO3-8	{RF} Power Amplifier with Dedicated Interlock and Feedback Controller	A. K. Mitra and W. Janßen and M. Sauer	53	55	53-55
MO3-9	Non-Destructive Beam Monitors for the {SNQ}-Linac	van der Hart, A. and K. Bongardt and C. Kennepohl and K. Kennepohl and F. Schmidt and R. Uhlemann and K. Zwoll	56	58	56-58
MO3-10	Control of Linear Accelerator Noise in the {Los Alamos} {Free-Electron Laser (FEL)}	M. T. Lynch	59	61	59-61
MO3-11	Proper Input Phase-Space Filling for Accurate Beam-Dynamics Codes	G. P. Boicourt and M. C. Vasquez	62	64	62-64
MO3-12	Internal Dynamics and Emittance Growth in Non-Uniform Beams	O. A. Anderson	65	69	65-69
MO3-13	{RF} Drive System for the {CEBAF} Superconducting Cavities	J. A. Fugitt and T. L. Moore	70	72	70-72
MO3-14	The {CEBAF} Cavity Cryostat	G. Biallas and P. Brindza and J. Kirchgessner and H. L. Phillips	73	75	73-75
MO3-15	The {CEBAF} Cryogenic System	P. Brindza and C. Rode	76	80	76-80
MO3-16	Beam Dynamics, Efficiency and Power of the {SLAC} {Lasertron} — Simulation Results	J. J. Welch	81	84	81-84
MO3-17	The Maximum Efficiency of a Conventional Klystron Output Cavity	J. J. Welch	85	86	85-86
MO3-18	Collector Material Desorption Tests	J. J. Welch and C. K. Sinclair	87	89	87-89
MO3-19	Boiling Heat Transfer Process in the Design of High Power Linac Structures	T. Tran Ngoc and J.-P. Labrie	90	92	90-92
MO3-22	A New Design of Profile Grid Electronics with High Performance	M. Fradj and R. Christmann and M. Hartung and P. Strehl	93	95	93-95
MO3-23	Fast On Line Phase Measurement of Pulsed {RF} Signals in the Range of {9–108 MHz}	W. Losert and R. Christmann and M. Fradj and M. Hartung and P. Strehl and D. Wilms	96	97	96-97
MO3-24	A Universal Electronic Phaseshifter	G. Hutter and W. Gutowski and K. Waitz	98	100	98-100
MO3-25	Longitudinal Emittance Measurement at the {ATS}	W. B. Cottingame and J. H. Cortez and W. W. Higgins and O. R. Sander and D. P. Sandoval	101	103	101-103
MO3-26	Cryogenic Studies of RF Accelerating Structures, Vintage 1978	D. J. Liska and J. Potter and J. Uher	104	105	104-105
MO3-28	High Power Pulsed Klystron for Linacs	T. Onodera and K. Hayashi and H. Iyeki	106	108	106-108
MO3-29	Improving the Efficiency of Microwave Devices with a Double Output Cavity	K. R. Eppley and W. B. Herrmannsfeldt and T. G. Lee	109	111	109-111
MO3-30	Novel Accelerators Employing High-Current Electron Beams: Numerical Simulations	W. M. Fawley and G. J. Caporaso and M. R. Teague and S. S. Yu and A. M. Sessler	112	115	112-115
MO3-31	Construction and First Operation of Upgraded Linear Accelerator	S. Fukumoto and Z. Igarashi and K. Ikegami and T. Kamei and T. Kato and C. Kubota and S. Machida and Y. Mori and T. Shintomi and A. Takagi and E. Takasaki and T. Takenaka	116	118	116-118
MO3-32	{RF} Tuning of the {KEK} {40 MeV} Proton Linac with Post Couplers	T. Kato and S. Machida	119	121	119-121
MO3-33	{RF}-Sources for Proton Linacs	G. Faillon and D. T. Tran	122	124	122-124
MO3-34	Vacuum System Design Considerations of the {Los Alamos} {Accelerator Test Stand (ATS)}	N. G. Wilson	125	127	125-127
MO3-36	Fabrication and Tuning Techniques for Side-Coupled Electron Accelerator Structures	L. D. Hansborough and W. L. Clark and R. A. DePaula and F. A. Martinez and P. L. Roybal and L. C. Wilkerson and L. M. Young	128	130	128-130
MO3-37	Status of the {BNL} {200 MeV} Linac	A. McNerney and J. M. Brennan and B. Briscoe and J. Brodowski and R. Horton and V. LoDestro and P. Montemurro and S. Y. Zhang	131	133	131-133
MO3-39	Polarized {H⁻} Source Development at {BNL}	J. G. Alessi and A. Hershcovitch and A. Kponou and Th. Sluyters and T. Niinikoski	134	137	134-137
MO3-41	Factors Affecting {H⁻} Beam Performance in the {Fermilab} Linac	C. D. Curtis and C. W. Owen and C. W. Schmidt	138	140	138-140
MO3-42	A Compact Proton Linac for Positron Tomography	R. W. Hamm and K. R. Crandall and M. E. Hamm and L. D. Hansborough and J. M. Potter	141	143	141-143
