eid	title	author	firstpage	lastpage	pages
ABI-01	Status Report on {GANIL}	M. Gouttefangeas and J. Fermé and {the GANIL Group}	3	12	3-12
ABI-02	{IPCR} Separated Sector Cyclotron with $K=540$	H. Kamitsubo	13	22	13-22
ABI-03	Present Status of {HIRFL}	B. W. Wei	23	32	23-32
ABI-04	The Status of the {South African National Accelerator Centre}	A. H. Botha	33	42	33-42
ABI-05	Status Report on the New Injector at {SIN}	U. Schryber and S. Adam and B. Berkes and H. Frei and W. Joho and P. Lanz and Ch. Markovits and M. Olivo and L. Rezzonico and N. Schmid	43	54	43-54
ABC-01	The {CERN} Synchrocyclotron Today	B. W. Allardyce	55	58	55-58
ABC-02	Initial Operation of {ORIC} with Tandem Injection	C. A. Ludemann and J. B. Ball and R. M. Beckers and E. D. Hudson and R. S. Lord and J. A. Martin and W. T. Milner and S. W. Mosko and N. F. Ziegler and T. P. Cleary	59	62	59-62
ABC-03	Status of the {INR} Cyclotron	H. Chang and H. Cai and M. Chen and W. Gao and J. Gu and J. Wei and C. Yao and G. Yi and J. Zhang	63	68	63-68
ABC-04	Beam Development on the Variable Energy Cyclotron at {Calcutta}	A. Jain and A. S. Divatia and R. C. Sethi	69	74	69-74
ABC-05	Operation and Utilization of the Variable Energy Cyclotron at {Calcutta}	S. Chatterjee and Y. Bahadur and B. B. Bhattacharjee and D. S. Bhattacharya and D. K. Bose and J. Chaudhury and S. N. Chintalapudi and S. K. Das and T. K. De and R. Dey and A. S. Divatia and N. K. Ganguly and A. Jain and P. K. Khemka and K. Kundu and S. K. Mitra and B. Mukhopadhyay and N. K. Mukhopadhyay and S. K. Pardhasaradhi and R. Ramakrishnan and S. S. Ramamurthy and R. C. Sethi and R. P. Sharma and S. D. Tiwari and M. D. Trivedi	75	80	75-80
ABC-06	{SARA} — {Grenoble} Status Report	M. Lieuvin	81	88	81-88
ABC-07	Advance in the Proposed {RCNP} Ring Cyclotron	I. Miura and Y. Fujita and M. Fujiwara and K. Hosono and M. Inoue and T. Itahashi and M. Kondo and T. Saito and A. Shimizu and T. Yamazaki	89	94	89-94
ABC-08	Acceleration of the High-Current Beams of Heavy Ions up to {1–2 GeV}/Nucleon in the Ring Cyclotron	L. A. Sarkisyan	95	98	95-98
ABP-01	{VICKSI} Status Report	B. Martin	99	102	99-102
ABP-02	Status of {JULIC}	L. Aldea and W. Bräutigam and R. Brings and C. Mayer-Böricke and J. Reich and P. Wucherer	103	106	103-106
ABP-03	Recent Developments at the {KVI} Cyclotron	O. C. Dermois and A. G. Drentje and H. W. Schreuder	107	110	107-110
ABP-04	Performance of the {Munich} Cyclotron	E. Huenges and H. Morinaga and H. Muthig	111	112	111-112
ABP-05	The {Chandigarh} Variable Energy Cyclotron	I. M. Govil and H. S. Hans	113	116	113-116
ABP-06	Status Report of the {Tohoku} {AVF} Cyclotron	T. Shinozuka and M. Fujioka and K. Ishii and S. Morita and H. Orihara and K. Sera	117	120	117-120
ABP-07	Progress Report and First Operation of the {GANIL} Injector	P. Attal and A. Backouche and M. Bajard and E. Baron and L. Bex and M. P. Bourgarel and G. Cardin and J. Deville and B. Lenoble and M. Voisin	121	124	121-124
ABP-08	Design and Performance of a Compact {H⁻} Cyclotron	G. O. Hendry and T. Beggs and K. Jenkins and T. Knight and T. Y. T. Kuo and G. Pinto and D. Raich and F. Ramsey	125	128	125-128
ABP-09	Aspects of the Design of an {8 MeV} Cyclotron as Injector for a {200 MeV} Separated-Sector Cyclotron	du Toit, Z. B. and S. J. Burger and P. J. Celliers and G. S. Z. Guasco and L. Roels and H. A. Smit	129	132	129-132
ABP-10	Status Report on the {CNRS} {Orleans}’ Cyclotron	G. Goin	133	136	133-136
ABP-11	Small Cyclotron for Medical Use: {CYPRIS} 325	G. Meyrand and K. Fujii	137	140	137-140
ABP-12	Status Report on the {MEDICYC} Project	C. M. Lalanne and P. Mandrillon and A. Susini	141	146	141-146
CI-01	Application of Superconductivity in Cyclotron Construction	H. G. Blosser	147	158	147-158
CI-02	Status of the {Chalk River} Superconducting Heavy-Ion Cyclotron	J. H. Ormrod and C. B. Bigham and E. A. Heighway and C. R. Hoffmann and J. A. Hulbert and H. R. Schneider	159	168	159-168
