eid	title	author	pages
TALKS-01	The {Yale University} {800 MeV} Proton Accelerator and Possible Accelerating {RF} Structures	R. Beringer	5-8
TALKS-02	Computed Drift Tube Shapes	R. L. Gluckstern	9-16
TALKS-03	Computed Drift Tube Shapes	F. E. Mills	17-20
TALKS-04	{Brookhaven} National Laboratory Linear Accelerator Performance	J. Bittner	21-25
TALKS-05	Vacuum Techniques for Linacs	C. Gould	26-28
TALKS-06	Linac Phase Oscillations	L. C. Teng	29-35
TALKS-07	Linac Phase Oscillations	F. E. Mills	36-39
TALKS-08	Linac Tank Flattening and Subdivision	J. Walters	40-46
TALKS-09	{Harwell} Linac Experience	S. Giordano	47-51
TALKS-10	{RF} Power Sources	G. W. Wheeler	52-54
TALKS-11	{RF} Power Sources	K. Brown	55-59
TALKS-12	Properties of Iris-Loaded Guides	K. Brown	60-75
TALKS-13	Buildings and Costs	D. E. Young	76-78
TALKS-14	Linear Accelerator Mechanical Construction	I. J. Polk	79-83
TALKS-15	Ion Sources and Pre-accelerators	van Steenbergen, A.	84-96
TALKS-16	Linac Focusing, Based on Work Done at {LRL, Berkeley}	R. L. Gluckstern	97-104
TALKS-17	Performance Estimate for a {200 MeV} Sector Cyclotron	H. Blosser	105-109
