eid	title	author	firstpage	lastpage	pages
A-01	First Year’s Operation of the {Chalk River} Superconducting Cyclotron	J. A. Hulbert and C. B. Bigham and W. G. Davies and B. F. Greiner and E. A. Heighway and J. D. Hepburn and C. R. J. Hoffmann and E. H. Lindqvist and J. H. Ormrod and E. P. Stock and L. W. Thomson	1	8	1-8
A-02	Commissioning of the {NAC} Separated-Sector Cyclotron	A. H. Botha and H. N. Jungwirth and J. J. Kritzinger and D. Reitmann and S. Schneider	9	16	9-16
A-03	Progress in {RIKEN} Ring Cyclotron Project	H. Kamitsubo	17	23	17-23
B-01	Project {OAE} at {GANIL} — A Project for Increasing the Heavy Ion Energies	J. Fermé	24	30	24-30
B-02	High Intensity Beam Acceleration with the {SIN} Cyclotron Facility	W. Joho	31	37	31-37
B-03	Operational Experience for Coupled Operation of the {Holifield} Tandem Electrostatic Accelerator and Isochronous Cyclotron	J. A. Martin and D. T. Dowling and D. L. Haynes and E. D. Hudson and C. M. Jones and R. C. Juras and S. N. Lane and C. A. Ludemann and M. J. Meigs and W. T. Milner and S. W. Mosko and D. K. Olsen and N. F. Ziegler	38	45	38-45
B-04	R{IKEN} {160 cm} Cyclotron	I. Kohno and S. Fujita and K. Ikegami and T. Kageyama and S. Kohara and K. Ogiwara and H. Takebe	46	49	46-49
B-05	Operation of {RILAC} at {RIKEN}	Y. Miyazawa and Y. Chiba and M. Hemmi and E. Ikezawa and T. Inoue and T. Kambara and M. Kase and T. Kubo and I. Tanihata and M. Yanokura	50	52	50-52
B-06	Recent Developments of the {RCNP} {AVF} Cyclotron	T. Itahashi and K. Hosono and M. Kondo and N. Matsuoka and I. Miura and H. Ogata and T. Saito and H. Sakai and A. Shimizu and T. Yamazaki	53	56	53-56
B-07	Status of the {Tohoku University} Multipurpose Cyclotron	M. Fujioka and T. Ido and K. Ishii and H. Orihara and K. Sera and T. Shinozuka	57	60	57-60
