eid	title	author	firstpage	lastpage	pages
MO1-02	The Continuous Electron Beam Accelerator Facility	H. Grunder	3	8	3-8
MO1-04	New and Proposed Linacs at {CERN}: The {LEP} ({e⁺/e⁻}) Injector and the {SPS} Heavy Ion ({Pb}) Injector	D. Warner	9	18	9-18
MO2-01	Design and Initial Operation of the {ETA-II} Induction Accelerator	J. Clark and F. Coffield and F. Deadrick and M. Newton and W. Nexsen and D. Prono and D. Ravenscroft and A. Throop and W. Turner and K. Whitham	19	23	19-23
MO2-04	Summary of the 1988 {HIF} Symposium	T. Godlove	24	30	24-30
MO3-02	The {Beijing} {35 MeV} Proton Linac	Z.-H. Luo and H.-F. Wan and S.-H. Wang and Q.-Y. Zhuo	31	33	31-33
MO3-03	Achromatic Magnetic Lens Systems for High Current Ion Beams	C. Olson	34	37	34-37
MO3-04	Nonlinear Beam Dynamics in a Funnel for Combining Two Intense Ion Beams	J. Whealton and R. Raridon and K. Rothe and T. Owens and W. Becraft	38	47	38-47
MO3-05	A Compact Proton {RFQ} Injector for the {Bevalac}	J. Staples and S. Abbott and R. Caylor and R. Gough and D. Howard and R. MacGill	48	50	48-50
MO3-06	Acceleration, Current Amplification and Emittance in {MBE-4}, an Experimental Multiple Beam Induction Linear Accelerator for Heavy Ions	A. Warwick and D. Gough and D. Keefe and H. Meuth	51	53	51-53
MO3-08	A Flight-Qualified {RFQ} for the {BEAR} Project	D. Schrage and J. Billen and G. Bolme and B. Campbell and W. Clark and J. Devenport and S. Gibbs and M. Lynch and F. Martinez and P. O’Shea and J. Stovall and T. Wangler and L. Young and J. Rathke and R. Micich and J. Rose and R. Richter and G. Rosato	54	57	54-57
MO3-09	Measurement of Field Asymmetry in Accelerating Cavities with Waveguide Couplers	A. Vetter and R. Friedman	58	60	58-60
MO3-10	{RFQ} Acceleration Section and Its Optimization	D. Raparia	61	63	61-63
MO3-11	Studying the End Regions of {RFQs} Using the {MAFIA} Codes	M. Browman and T. Barts and G. Spalek	64	66	64-66
MO3-12	Experiment on Beam Formation with Two Coupled {RFQs}	P. Leipe and H. Deitinghoff and H. Klein and K. Langbein and A. Schempp	67	69	67-69
MO3-13	The {CRYRING} {RFQ}	A. Schempp and H. Deitinghoff and H. Klein and C. Herrlander and A. Källberg and A. Soltan	70	72	70-72
MO3-14	Performance of the {DESY} {RFQs}	A. Schempp and M. Ferch and H. Klein and K. Pape and S.-H. Wang and H.-S. Zhang and P. Schastok and C. Schmidt	73	75	73-75
MO3-15	Calculations on Beam Formation with Two Coupled {RFQs} for the {EHF} Injection Scheme	H. Deitinghoff and H. Klein and A. Schempp	76	78	76-78
MO3-16	The {1 GeV} Proton Linac for the {Japanese} Hadron Facility	Y. Yamazaki and S. Anami and H. Baba and T. Kageyama and T. Kato and M. Kihara and T. Kubo and Y. Mori and Y. Morozumi and F. Naito and M. Ono and E. Takasaki and A. Ueno and S. Arai and N. Tokuda	79	81	79-81
MO3-17	Beam Loading and Frequency Detuning in a Linear Accelerator	R. Jones and B. Cheo and J. Shmoys	82	85	82-85
MO3-18	A Hospital-Based Proton Linac for Neutron Therapy and Radioisotope Production	A. Lennox	86	87	86-87
MO3-19	Stripping with a {Fomblin} Supersonic Jet at {112.5 keV}/Nucleon	M. McMahan and B. Feinberg and D. Hubbard and S. Meaney	88	90	88-90
MO3-20	CW Operation and Initial Beam Experiments with the {RFQ1} Accelerator	G. Arbique and B. Chidley and G. McMichael and J. Sheikh	91	93	91-93
MO3-21	Low Power {RF} Tuning of the {RFQ1} Accelerator	R. Hutcheon and G. McMichael	94	96	94-96
MO3-22	A Simple Model of Ion Extraction from a Plasma Source	T. Taylor	97	99	97-99
MO3-23	An Emittance Measuring System for High-Current High-Brightness Multi-Beamlet Multi-Species Heavy-Ion Beams	T. Taylor and de Jong, M. and W. Michel	100	102	100-102
MO3-24	Reference Design for the {Fermilab} Linac Upgrade	J. MacLachlan	103	105	103-105
