eid	title	author	firstpage	lastpage	pages
0035	A Tribute to {Nicholas C. Christofilos}	T. K. Fowler	35	35	35
0036	Impact of Accelerators on Technology	I. L. Morgan	36	39	36-39
0040	Support of Research on and with Accelerators	W. A. Wallenmeyer	40	43	40-43
0044	Progress on {RF} Electron Superconducting Accelerators	L. R. Suelzle	44	48	44-48
0049	Progress Report on Superconducting Proton Linacs	M. Kuntze	49	53	49-53
0054	Electron Multiplication in Cavities	I. Ben-Zvi and J. F. Crawford and J. P. Turneaure	54	58	54-58
0059	{RF}-Tests on Deflecting Cavities for a Superconducting Particle Separator	W. Bauer and A. Citron and G. Dammertz and H. Diepers and H. C. Eschelbacher and H. Lengeler and H. Miller and E. Rathgeber	59	62	59-62
0063	Investigations of a Superconducting Beam Tube Niobium Cavity at {S}-Band	P. Kneisel and J. Halbritter and O. Stoltz	63	67	63-67
0068	Superconducting Niobium Cavities Prepared by Electropolishing and Anodizing	H. Diepers and H. Martens and O. Schmidt and K. Schnitzke and Y. Uzel	68	70	68-70
0071	Vibration-{RF} Control of Superconducting Helix Resonators for Heavy-Ion Acceleration	O. D. Despe and K. W. Johnson and T. K. Khoe	71	75	71-75
0076	Development and Operation of a Prototype Superconducting Linac for Heavy-Ion Acceleration	J. Aron and R. Benaroya and L. M. Bollinger and K. E. Gray and A. H. Jaffey and K. W. Johnson and T. K. Khoe and J. J. Livingood and F. J. Lynch and J. M. Nixon and G. W. Parker and W. J. Ramler and W. A. Wesolowski	76	80	76-80
0081	Experience in Recirculating Electrons through a Superconducting Linac	L. M. Young	81	85	81-85
0086	Beam Breakup in a 55-Cell Superconducting Accelerator Structure	K. Mittag and H. D. Schwarz and H. A. Schwettman	86	90	86-90
0091	The {Bevatron} Cryopump	R. A. Byrns and J. T. Tanabe	91	94	91-94
0095	Superconducting Niobium Deflectors	J. R. Aggus and W. Bauer and S. Giordano and H. Hahn and H. J. Halama	95	97	95-97
0098	{3 GHz} Superconducting Accelerator Cavity for Use in an Electron Synchrotron	R. Sundelin and J. Kirchgessner and D. Rice and M. Tigner and von Borstel, E.	98	100	98-100
0101	Electron Loading in {L}- and {S}- Band Superconducting Niobium Cavities	C. Lyneis and Y. Kojima and J. P. Turnesure and N. T. Viet	101	103	101-103
0104	Recent Measurements at {SLAC} on Superconducting Niobium {X}-Band Cavities	P. B. Wilson and Z. D. Farkas and H. A. Hogg and E. W. Hoyt	104	107	104-107
0108	Investigations of Additional Losses in Superconducting Niobium Cavities due to Frozen-in Flux	B. Piosczyk and J. Halbritter and P. Kneisel and O. Stoltz	108	112	108-112
0113	Resonant Frequency Control of Superconducter {RF} Cavities	Peebles, Jr., P. Z.	113	118	113-118
0119	Superconducting Accelerator Magnet Cooling Systems	Vander Arend, P. C. and W. B. Fowler	119	121	119-121
0122	Quick Approximations for the {He₃} Points of State	F. F. Hall	122	124	122-124
0125	Large Rectangular Vacuum Windows	J. E. Walter	125	126	125-126
0127	Rapid Cycling Valve for 30-{Hz} Pulsed {H⁻} Ion Source	A. J. Gorka and K. D. Kellogg and J. S. Moenich	127	129	127-129
0130	Pressure Differential Gate Valve	J. S. Moenich and J. J. Peerson	130	130	130
0131	Titanium Vacuum Chamber Liners in the {Cornell Electron Synchrotron}	J. L. Kirchgessner	131	132	131-132
0133	Dielectric-Lined Circular Deflectors for Ultrahigh-Energy Beam Separators	C. T. M. Chang	133	135	133-135
0136	Some Advances in Negative Ion Technology	K. H. Purser	136	141	136-141
0142	Design and Operating Characteristics of the Developmental {H⁻} Ion Source for 30-{Hz} Injection into the {Argonne National Laboratory (ANL)} Booster	J. A. Fasolo and A. J. Gorka and J. S. Moenich	142	146	142-146
0147	Cyclotron Internal Ion Source with {DC} Extraction	M. L. Mallory and E. D. Hudson and R. S. Lord	147	150	147-150
0151	Progress with the {SuperHILAC}	A. Ghiorso	151	154	151-154
0155	The {Bevalac}—An Economical Facility for Very Energetic Heavy Particle Research	A. Ghiorso and H. Grunder and W. Hartsough and G. Lambertson and E. Lofgren and K. Lou and R. Main and R. Mobley and R. Morgado and W. Salsig and F. Selph	155	158	155-158
0159	Proposed Accelerator for Heavy Ions	R. H. Stokes	159	162	159-162
0163	A National Nuclear Structure Facility for {Britain}	N. R. S. Tait and R. G. P. Voss	163	167	163-167
0168	A Multi-Accelerator System for Heavy Ions	E. D. Hudson and L. N. Howell and R. S. Lord and C. A. Ludemann and M. L. Mallory and J. A. Martin and W. T. Milner and S. W. Mosko and P. H. Stelson and A. Zucker	168	172	168-172
0173	Energy Multiplication by Beam Recycling in an Isochronous Cyclotron	E. D. Hudson and H. G. Blosser and D. A. Johnson and R. S. Lord and M. L. Mallory and A. Zucker	173	177	173-177
0178	First Phase of Heavy Ion Acceleration at the {Bevatron}	K. C. Crebbin and D. M. Evans and R. J. Force and H. A. Grunder and J. R. Guggemos and W. D. Hartsough and E. J. Lofgren and F. Lothrop and K. H. Lou and R. Morgado and R. M. Richter and M. M. Tekawa and E. Zajec	178	181	178-181
0182	Production of Intense Proton Beams	P. R. Hanley and N. Wells	182	184	182-184
0185	Design and Measured Characteristics of Minimum Loss Low-Velocity Helix Resonators	P. J. Bendt and B. H. Erkkila and R. H. Stokes	185	187	185-187
0188	{RF} Losses in Helical Resonators	L. J. Laslett and K. S. Jancaitis and T. A. Tombrello	188	190	188-190
0191	Operating Results from {NAL}	{The NAL Staff}	191	197	191-197
0198	Operating Results from the {ANL} Booster	J. D. Simpson	198	201	198-201
0202	Present Status of the {590 MeV} Ring Cyclotron of {SIN}	H. A. Willax	202	206	202-206
0207	Problems and Possible Solutions for the {TRIUMF} Project	J. R. Richardson	207	212	207-212
0213	Pulsed Beam Capabilities of the {Livermore Cyclograaff}	J. C. Davis and J. D. Anderson and E. K. Freytag and D. R. Rawles	213	216	213-216
0217	Acceleration of Polarized Protons in the {Zero Gradient Synchrotron (ZGS)}	L. G. Ratner and T. K. Khoe	217	220	217-220
0221	Present Performance of the {CERN} {800 MeV} {PS Booster (PSB)}	{The PSB Staff}	221	225	221-225
0226	Performance Report on the Post Conversion {AGS}	M. Barton and K. Batchelor and L. Blumberg and J. Cottingham and J. Glenn and J. Grisoli and J. Herrera and A. Maschke and E. Raka and van Steenbergen, A.	226	230	226-230
0231	Recent Progress in the Performance of the {Desy-Electron Synchrotron}	H. Kumpfert	231	235	231-235
0236	{224 cm} Variable Energy Cyclotron at {Calcutta}	C. Ambasankaran and D. Y. Phadke	236	239	236-239
0240	Main Accelerator Abort System	R. Carrigan and W. DeLuca and R. Ducar and R. Lundy and A. Maschke and S. Mori and W. J. Pelczarski and C. Rode and L. Sauer and L. Teng and A. Visser and R. Yamada	240	242	240-242
0243	Construction Details of the {TRIUMF} {H⁻} Cyclotron	J. J. Burgerjon and O. K. Fredriksson and W. A. Grundman and A. J. Otter and B. C. Stonehill	243	247	243-247
0248	Experimental Results from the {TRIUMF} Central Region Cyclotron	E. W. Blackmore and G. Dutto and W. Joho and G. H. Mackenzie and L. Root and M. Zach	248	249	248-249
0250	LBL 184-Inch Synchrocyclotron Operational Improvements	L. R. Glasgow and L. L. Kanstein and R. W. Sorensen and J. T. Vale	250	252	250-252
0253	The Program Used to Retune the {Zero Gradient Synchrotron (ZGS)} after the Installation of a New Vacuum Chamber and Pole Face Windings	R. L. Kustom	253	256	253-256
0257	The {S.I.N.} Injector Cyclotron	A. Baan and R. A. Beelaard and N. Hazewindus and H. J. A. M. Hovers and van Nieuwland, J. M. and D. Wierts	257	259	257-259
0260	A Variable Energy Racetrack Microtron	H. R. Froelich and D. S. Edmonds and J. J. Manca and A. S. Thompson	260	262	260-262
0263	The Status Report of the {LNPI} {1 GeV} Synchrocyclotron	N. N. Chernov	263	265	263-265
